CCDS-r9	CCDS-r11	CCDS-r12	CCDS-r14	CCDS-r15
HTRA3	HTRA3	HTRA3	HTRA3	HTRA3
ACOX3	ACOX3	ACOX3	ACOX3	ACOX3
TRMT44	TRMT44	TRMT44	TRMT44	TRMT44
GPR78	GPR78	GPR78	GPR78	GPR78
CPZ	CPZ	CPZ	CPZ	CPZ
DRD5	DRD5	DRD5	DRD5	DRD5
SLC2A9	SLC2A9	SLC2A9	SLC2A9	SLC2A9
HS3ST1	HS3ST1	HS3ST1	HS3ST1	HS3ST1
RAB28	RAB28	RAB28	RAB28	RAB28
NKX3-2	NKX3-2	NKX3-2	NKX3-2	NKX3-2
BOD1L1	BOD1L1	BOD1L1	BOD1L1	BOD1L1
C1QTNF7	C1QTNF7	C1QTNF7	C1QTNF7	C1QTNF7
FBXL5	FBXL5	FBXL5	FBXL5	FBXL5
BST1	BST1	BST1	BST1	BST1
CD38	CD38	CD38	CD38	CD38
FGFBP1	FGFBP1	FGFBP1	FGFBP1	FGFBP1
FGFBP2	FGFBP2	FGFBP2	FGFBP2	FGFBP2
LDB2	LDB2	LDB2	LDB2	LDB2
QDPR	QDPR	QDPR	QDPR	QDPR
LAP3	LAP3	LAP3	LAP3	LAP3
DCAF16	DCAF16	DCAF16	DCAF16	DCAF16
NCAPG	NCAPG	NCAPG	NCAPG	NCAPG
LCORL	LCORL	LCORL	LCORL	LCORL
SLIT2	SLIT2	SLIT2	SLIT2	SLIT2
PACRGL	PACRGL	PACRGL	PACRGL	PACRGL
KCNIP4	KCNIP4	KCNIP4	KCNIP4	KCNIP4
PPARGC1A	PPARGC1A	PPARGC1A	PPARGC1A	PPARGC1A
SOD3	SOD3	SOD3	SOD3	SOD3
LGI2	LGI2	LGI2	LGI2	LGI2
SEPSECS	SEPSECS	SEPSECS	SEPSECS	SEPSECS
PI4K2B	PI4K2B	PI4K2B	PI4K2B	PI4K2B
ANAPC4	ANAPC4	ANAPC4	ANAPC4	ANAPC4
SLC34A2	SLC34A2	SLC34A2	SLC34A2	SLC34A2
RBPJ	RBPJ	RBPJ	RBPJ	RBPJ
CCKAR	CCKAR	CCKAR	CCKAR	CCKAR
TBC1D19	TBC1D19	TBC1D19	TBC1D19	TBC1D19
STIM2	STIM2	STIM2	STIM2	STIM2
ARAP2	ARAP2	ARAP2	ARAP2	ARAP2
C4orf19	C4orf19	C4orf19	C4orf19	C4orf19
PGM2	PGM2	PGM2	PGM2	PGM2
KLF3	KLF3	KLF3	KLF3	KLF3
TLR10	TLR10	TLR10	TLR10	TLR10
TLR6	TLR6	TLR6	TLR6	TLR6
FAM114A1	FAM114A1	FAM114A1	FAM114A1	FAM114A1
TMEM156	TMEM156	TMEM156	TMEM156	TMEM156
KLHL5	KLHL5	KLHL5	KLHL5	KLHL5
RFC1	RFC1	RFC1	RFC1	RFC1
KLB	KLB	KLB	KLB	KLB
RPL9	RPL9	RPL9	RPL9	RPL9
LIAS	LIAS	LIAS	LIAS	LIAS
UGDH	UGDH	UGDH	UGDH	UGDH
C4orf34	SMIM14	SMIM14	SMIM14	SMIM14
N4BP2	N4BP2	N4BP2	N4BP2	N4BP2
RHOH	RHOH	RHOH	RHOH	RHOH
CHRNA9	CHRNA9	CHRNA9	CHRNA9	CHRNA9
RBM47	RBM47	RBM47	RBM47	RBM47
NSUN7	NSUN7	NSUN7	NSUN7	NSUN7
UCHL1	UCHL1	UCHL1	UCHL1	UCHL1
PHOX2B	PHOX2B	PHOX2B	PHOX2B	PHOX2B
TMEM33	TMEM33	TMEM33	TMEM33	TMEM33
SLC30A9	SLC30A9	SLC30A9	SLC30A9	SLC30A9
ATP8A1	ATP8A1	ATP8A1	ATP8A1	ATP8A1
KCTD8	KCTD8	KCTD8	KCTD8	KCTD8
GUF1	GUF1	GUF1	GUF1	GUF1
GNPDA2	GNPDA2	GNPDA2	GNPDA2	GNPDA2
GABRG1	GABRG1	GABRG1	GABRG1	GABRG1
GABRA2	GABRA2	GABRA2	GABRA2	GABRA2
COX7B2	COX7B2	COX7B2	COX7B2	COX7B2
GABRA4	GABRA4	GABRA4	GABRA4	GABRA4
GABRB1	GABRB1	GABRB1	GABRB1	GABRB1
COMMD8	COMMD8	COMMD8	COMMD8	COMMD8
ATP10D	ATP10D	ATP10D	ATP10D	ATP10D
CORIN	CORIN	CORIN	CORIN	CORIN
NFXL1	NFXL1	NFXL1	NFXL1	NFXL1
NIPAL1	NIPAL1	NIPAL1	NIPAL1	NIPAL1
TXK	TXK	TXK	TXK	TXK
TEC	TEC	TEC	TEC	TEC
SLC10A4	SLC10A4	SLC10A4	SLC10A4	SLC10A4
ZAR1	ZAR1	ZAR1	ZAR1	ZAR1
OCIAD1	OCIAD1	OCIAD1	OCIAD1	OCIAD1
OCIAD2	OCIAD2	OCIAD2	OCIAD2	OCIAD2
CWH43	CWH43	CWH43	CWH43	CWH43
DCUN1D4	DCUN1D4	DCUN1D4	DCUN1D4	DCUN1D4
SGCB	SGCB	SGCB	SGCB	SGCB
SPATA18	SPATA18	SPATA18	SPATA18	SPATA18
RASL11B	RASL11B	RASL11B	RASL11B	RASL11B
FIP1L1	FIP1L1	FIP1L1	FIP1L1	FIP1L1
LNX1	LNX1	LNX1	LNX1	LNX1
CHIC2	CHIC2	CHIC2	CHIC2	CHIC2
GSX2	GSX2	GSX2	GSX2	GSX2
PDGFRA	PDGFRA	PDGFRA	PDGFRA	PDGFRA
KIT	KIT	KIT	KIT	KIT
KDR	KDR	KDR	KDR	KDR
SRD5A3	SRD5A3	SRD5A3	SRD5A3	SRD5A3
TMEM165	TMEM165	TMEM165	TMEM165	TMEM165
CLOCK	CLOCK	CLOCK	CLOCK	CLOCK
NMU	NMU	NMU	NMU	NMU
EXOC1	EXOC1	EXOC1	EXOC1	EXOC1
AASDH	AASDH	AASDH	AASDH	AASDH
PPAT	PPAT	PPAT	PPAT	PPAT
SRP72	SRP72	SRP72	SRP72	SRP72
HOPX	HOPX	HOPX	HOPX	HOPX
SPINK2	SPINK2	SPINK2	SPINK2	SPINK2
REST	REST	REST	REST	REST
NOA1	NOA1	NOA1	NOA1	NOA1
POLR2B	POLR2B	POLR2B	POLR2B	POLR2B
IGFBP7	IGFBP7	IGFBP7	IGFBP7	IGFBP7
EPHA5	EPHA5	EPHA5	EPHA5	EPHA5
STAP1	STAP1	STAP1	STAP1	STAP1
UBA6	UBA6	UBA6	UBA6	UBA6
GNRHR	GNRHR	GNRHR	GNRHR	GNRHR
TMPRSS11D	TMPRSS11D	TMPRSS11D	TMPRSS11D	TMPRSS11D
TMPRSS11A	TMPRSS11A	TMPRSS11A	TMPRSS11A	TMPRSS11A
TMPRSS11F	TMPRSS11F	TMPRSS11F	TMPRSS11F	TMPRSS11F
TMPRSS11B	TMPRSS11B	TMPRSS11B	TMPRSS11B	TMPRSS11B
YTHDC1	YTHDC1	YTHDC1	YTHDC1	YTHDC1
UGT2B17	UGT2B17	UGT2B17	UGT2B17	UGT2B17
UGT2B15	UGT2B15	UGT2B15	UGT2B15	UGT2B15
UGT2A3	UGT2A3	UGT2A3	UGT2A3	UGT2A3
UGT2B7	UGT2B7	UGT2B7	UGT2B7	UGT2B7
UGT2B11	UGT2B11	UGT2B11	UGT2B11	UGT2B11
UGT2B28	UGT2B28	UGT2B28	UGT2B28	UGT2B28
UGT2A1	UGT2A1	UGT2A1	UGT2A1	UGT2A1
SULT1B1	SULT1B1	SULT1B1	SULT1B1	SULT1B1
SULT1E1	SULT1E1	SULT1E1	SULT1E1	SULT1E1
CSN2	CSN2	CSN2	CSN2	CSN2
STATH	STATH	STATH	STATH	STATH
HTN1	HTN1	HTN1	HTN1	HTN1
C4orf40	C4orf40	C4orf40	C4orf40	C4orf40
ODAM	ODAM	ODAM	ODAM	ODAM
FDCSP	FDCSP	FDCSP	FDCSP	FDCSP
CSN3	CSN3	CSN3	CSN3	CSN3
CABS1	CABS1	CABS1	CABS1	CABS1
SMR3B	SMR3B	SMR3B	SMR3B	SMR3B
MUC7	MUC7	MUC7	MUC7	MUC7
AMTN	AMTN	AMTN	AMTN	AMTN
AMBN	AMBN	AMBN	AMBN	AMBN
ENAM	ENAM	ENAM	ENAM	ENAM
IGJ	IGJ	IGJ	IGJ	IGJ
UTP3	UTP3	UTP3	UTP3	UTP3
RUFY3	RUFY3	RUFY3	RUFY3	RUFY3
DCK	DCK	DCK	DCK	DCK
SLC4A4	SLC4A4	SLC4A4	SLC4A4	SLC4A4
GC	GC	GC	GC	GC
NPFFR2	NPFFR2	NPFFR2	NPFFR2	NPFFR2
ADAMTS3	ADAMTS3	ADAMTS3	ADAMTS3	ADAMTS3
COX18	COX18	COX18	COX18	COX18
ALB	ALB	ALB	ALB	ALB
AFP	AFP	AFP	AFP	AFP
AFM	AFM	AFM	AFM	AFM
RASSF6	RASSF6	RASSF6	RASSF6	RASSF6
CXCL6	CXCL6	CXCL6	CXCL6	CXCL6
PF4V1	PF4V1	PF4V1	PF4V1	PF4V1
PF4	PF4	PF4	PF4	PF4
PPBP	PPBP	PPBP	PPBP	PPBP
EREG	EREG	EREG	EREG	EREG
AREG	AREG	AREG	AREG	AREG
BTC	BTC	BTC	BTC	BTC
RCHY1	RCHY1	RCHY1	RCHY1	RCHY1
THAP6	THAP6	THAP6	THAP6	THAP6
C4orf26	C4orf26	C4orf26	C4orf26	C4orf26
CDKL2	CDKL2	CDKL2	CDKL2	CDKL2
G3BP2	G3BP2	G3BP2	G3BP2	G3BP2
SDAD1	SDAD1	SDAD1	SDAD1	SDAD1
CXCL11	CXCL11	CXCL11	CXCL11	CXCL11
ART3	ART3	ART3	ART3	ART3
NUP54	NUP54	NUP54	NUP54	NUP54
SCARB2	SCARB2	SCARB2	SCARB2	SCARB2
STBD1	STBD1	STBD1	STBD1	STBD1
SHROOM3	SHROOM3	SHROOM3	SHROOM3	SHROOM3
CCNI	CCNI	CCNI	CCNI	CCNI
CCNG2	CCNG2	CCNG2	CCNG2	CCNG2
CXCL13	CXCL13	CXCL13	CXCL13	CXCL13
MRPL1	MRPL1	MRPL1	MRPL1	MRPL1
ANXA3	ANXA3	ANXA3	ANXA3	ANXA3
GK2	GK2	GK2	GK2	GK2
FGF5	FGF5	FGF5	FGF5	FGF5
C4orf22	C4orf22	C4orf22	C4orf22	C4orf22
BMP3	BMP3	BMP3	BMP3	BMP3
PRKG2	PRKG2	PRKG2	PRKG2	PRKG2
HNRNPD	HNRNPD	HNRNPD	HNRNPD	HNRNPD
HNRPDL	HNRPDL	HNRNPDL	HNRNPDL	HNRNPDL
ENOPH1	ENOPH1	ENOPH1	ENOPH1	ENOPH1
SCD5	SCD5	SCD5	SCD5	SCD5
SEC31A	SEC31A	SEC31A	SEC31A	SEC31A
THAP9	THAP9	THAP9	THAP9	THAP9
LIN54	LIN54	LIN54	LIN54	LIN54
COPS4	COPS4	COPS4	COPS4	COPS4
PLAC8	PLAC8	PLAC8	PLAC8	PLAC8
HPSE	HPSE	HPSE	HPSE	HPSE
HELQ	HELQ	HELQ	HELQ	HELQ
MRPS18C	MRPS18C	MRPS18C	MRPS18C	MRPS18C
FAM175A	FAM175A	FAM175A	FAM175A	FAM175A
AGPAT9	AGPAT9	AGPAT9	AGPAT9	AGPAT9
NKX6-1	NKX6-1	NKX6-1	NKX6-1	NKX6-1
CDS1	CDS1	CDS1	CDS1	CDS1
WDFY3	WDFY3	WDFY3	WDFY3	WDFY3
ARHGAP24	ARHGAP24	ARHGAP24	ARHGAP24	ARHGAP24
MAPK10	MAPK10	MAPK10	MAPK10	MAPK10
SLC10A6	SLC10A6	SLC10A6	SLC10A6	SLC10A6
C4orf36	C4orf36	C4orf36	C4orf36	C4orf36
AFF1	AFF1	AFF1	AFF1	AFF1
KLHL8	KLHL8	KLHL8	KLHL8	KLHL8
HSD17B13	HSD17B13	HSD17B13	HSD17B13	HSD17B13
HSD17B11	HSD17B11	HSD17B11	HSD17B11	HSD17B11
NUDT9	NUDT9	NUDT9	NUDT9	NUDT9
SPARCL1	SPARCL1	SPARCL1	SPARCL1	SPARCL1
DMP1	DMP1	DMP1	DMP1	DMP1
IBSP	IBSP	IBSP	IBSP	IBSP
MEPE	MEPE	MEPE	MEPE	MEPE
SPP1	SPP1	SPP1	SPP1	SPP1
PKD2	PKD2	PKD2	PKD2	PKD2
ABCG2	ABCG2	ABCG2	ABCG2	ABCG2
PPM1K	PPM1K	PPM1K	PPM1K	PPM1K
HERC5	HERC5	HERC5	HERC5	HERC5
PYURF	PYURF	PYURF	PYURF	PYURF
NAP1L5	NAP1L5	NAP1L5	NAP1L5	NAP1L5
TIGD2	TIGD2	TIGD2	TIGD2	TIGD2
SNCA	SNCA	SNCA	SNCA	SNCA
MMRN1	MMRN1	MMRN1	MMRN1	MMRN1
GRID2	GRID2	GRID2	GRID2	GRID2
ATOH1	ATOH1	ATOH1	ATOH1	ATOH1
SMARCAD1	SMARCAD1	SMARCAD1	SMARCAD1	SMARCAD1
HPGDS	HPGDS	HPGDS	HPGDS	HPGDS
PDLIM5	PDLIM5	PDLIM5	PDLIM5	PDLIM5
BMPR1B	BMPR1B	BMPR1B	BMPR1B	BMPR1B
UNC5C	UNC5C	UNC5C	UNC5C	UNC5C
PDHA2	PDHA2	PDHA2	PDHA2	PDHA2
C4orf37	STPG2	STPG2	STPG2	STPG2
TSPAN5	TSPAN5	TSPAN5	TSPAN5	TSPAN5
ADH6	ADH6	ADH6	ADH6	ADH6
ADH1A	ADH1A	ADH1A	ADH1A	ADH1A
C4orf17	C4orf17	C4orf17	C4orf17	C4orf17
TRMT10A	TRMT10A	TRMT10A	TRMT10A	TRMT10A
MTTP	MTTP	MTTP	MTTP	MTTP
LAMTOR3	LAMTOR3	LAMTOR3	LAMTOR3	LAMTOR3
H2AFZ	H2AFZ	H2AFZ	H2AFZ	H2AFZ
EMCN	EMCN	EMCN	EMCN	EMCN
SLC39A8	SLC39A8	SLC39A8	SLC39A8	SLC39A8
NFKB1	NFKB1	NFKB1	NFKB1	NFKB1
MANBA	MANBA	MANBA	MANBA	MANBA
UBE2D3	UBE2D3	UBE2D3	UBE2D3	UBE2D3
SLC9B2	SLC9B2	SLC9B2	SLC9B2	SLC9B2
BDH2	BDH2	BDH2	BDH2	BDH2
TACR3	TACR3	TACR3	TACR3	TACR3
CXXC4	CXXC4	CXXC4	CXXC4	CXXC4
TET2	TET2	TET2	TET2	TET2
PPA2	PPA2	PPA2	PPA2	PPA2
ARHGEF38	ARHGEF38	ARHGEF38	ARHGEF38	ARHGEF38
INTS12	INTS12	INTS12	INTS12	INTS12
GSTCD	GSTCD	GSTCD	GSTCD	GSTCD
TBCK	TBCK	TBCK	TBCK	TBCK
AIMP1	AIMP1	AIMP1	AIMP1	AIMP1
DKK2	DKK2	DKK2	DKK2	DKK2
PAPSS1	PAPSS1	PAPSS1	PAPSS1	PAPSS1
SGMS2	SGMS2	SGMS2	SGMS2	SGMS2
HADH	HADH	HADH	HADH	HADH
LEF1	LEF1	LEF1	LEF1	LEF1
RPL34	RPL34	RPL34	RPL34	RPL34
OSTC	OSTC	OSTC	OSTC	OSTC
AGXT2L1	AGXT2L1	ETNPPL	ETNPPL	ETNPPL
CCDC109B	CCDC109B	CCDC109B	CCDC109B	CCDC109B
CASP6	CASP6	CASP6	CASP6	CASP6
PLA2G12A	PLA2G12A	PLA2G12A	PLA2G12A	PLA2G12A
RRH	RRH	RRH	RRH	RRH
LRIT3	LRIT3	LRIT3	LRIT3	LRIT3
EGF	EGF	EGF	EGF	EGF
ELOVL6	ELOVL6	ELOVL6	ELOVL6	ELOVL6
ENPEP	ENPEP	ENPEP	ENPEP	ENPEP
PITX2	PITX2	PITX2	PITX2	PITX2
C4orf32	C4orf32	C4orf32	C4orf32	C4orf32
AP1AR	AP1AR	AP1AR	AP1AR	AP1AR
ALPK1	ALPK1	ALPK1	ALPK1	ALPK1
NEUROG2	NEUROG2	NEUROG2	NEUROG2	NEUROG2
C4orf21	C4orf21	C4orf21	C4orf21	C4orf21
LARP7	LARP7	LARP7	LARP7	LARP7
ANK2	ANK2	ANK2	ANK2	ANK2
CAMK2D	CAMK2D	CAMK2D	CAMK2D	CAMK2D
UGT8	UGT8	UGT8	UGT8	UGT8
NDST4	NDST4	NDST4	NDST4	NDST4
TRAM1L1	TRAM1L1	TRAM1L1	TRAM1L1	TRAM1L1
NDST3	NDST3	NDST3	NDST3	NDST3
PRSS12	PRSS12	PRSS12	PRSS12	PRSS12
SEC24D	SEC24D	SEC24D	SEC24D	SEC24D
MYOZ2	MYOZ2	MYOZ2	MYOZ2	MYOZ2
FABP2	FABP2	FABP2	FABP2	FABP2
PDE5A	PDE5A	PDE5A	PDE5A	PDE5A
MAD2L1	MAD2L1	MAD2L1	MAD2L1	MAD2L1
PRDM5	PRDM5	PRDM5	PRDM5	PRDM5
NDNF	NDNF	NDNF	NDNF	NDNF
TNIP3	TNIP3	TNIP3	TNIP3	TNIP3
QRFPR	QRFPR	QRFPR	QRFPR	QRFPR
ANXA5	ANXA5	ANXA5	ANXA5	ANXA5
TMEM155	TMEM155	TMEM155	TMEM155	TMEM155
EXOSC9	EXOSC9	EXOSC9	EXOSC9	EXOSC9
CCNA2	CCNA2	CCNA2	CCNA2	CCNA2
BBS7	BBS7	BBS7	BBS7	BBS7
TRPC3	TRPC3	TRPC3	TRPC3	TRPC3
IL2	IL2	IL2	IL2	IL2
IL21	IL21	IL21	IL21	IL21
BBS12	BBS12	BBS12	BBS12	BBS12
NUDT6	NUDT6	NUDT6	NUDT6	NUDT6
SPATA5	SPATA5	SPATA5	SPATA5	SPATA5
SPRY1	SPRY1	SPRY1	SPRY1	SPRY1
FAT4	FAT4	FAT4	FAT4	FAT4
SLC25A31	SLC25A31	SLC25A31	SLC25A31	SLC25A31
HSPA4L	HSPA4L	HSPA4L	HSPA4L	HSPA4L
PLK4	PLK4	PLK4	PLK4	PLK4
MFSD8	MFSD8	MFSD8	MFSD8	MFSD8
LARP1B	LARP1B	LARP1B	LARP1B	LARP1B
PGRMC2	PGRMC2	PGRMC2	PGRMC2	PGRMC2
SCLT1	SCLT1	SCLT1	SCLT1	SCLT1
C4orf33	C4orf33	C4orf33	C4orf33	C4orf33
SLC7A11	SLC7A11	SLC7A11	SLC7A11	SLC7A11
CCRN4L	CCRN4L	CCRN4L	CCRN4L	CCRN4L
ELF2	ELF2	ELF2	ELF2	ELF2
NDUFC1	NDUFC1	NDUFC1	NDUFC1	NDUFC1
RAB33B	RAB33B	RAB33B	RAB33B	RAB33B
SETD7	SETD7	SETD7	SETD7	SETD7
MGST2	MGST2	MGST2	MGST2	MGST2
SCOC	SCOC	SCOC	SCOC	SCOC
CLGN	CLGN	CLGN	CLGN	CLGN
ELMOD2	ELMOD2	ELMOD2	ELMOD2	ELMOD2
UCP1	UCP1	UCP1	UCP1	UCP1
ZNF330	ZNF330	ZNF330	ZNF330	ZNF330
IL15	IL15	IL15	IL15	IL15
INPP4B	INPP4B	INPP4B	INPP4B	INPP4B
USP38	USP38	USP38	USP38	USP38
GAB1	GAB1	GAB1	GAB1	GAB1
SMARCA5	SMARCA5	SMARCA5	SMARCA5	SMARCA5
HHIP	HHIP	HHIP	HHIP	HHIP
OTUD4	OTUD4	OTUD4	OTUD4	OTUD4
SMAD1	SMAD1	SMAD1	SMAD1	SMAD1
MMAA	MMAA	MMAA	MMAA	MMAA
LSM6	LSM6	LSM6	LSM6	LSM6
SLC10A7	SLC10A7	SLC10A7	SLC10A7	SLC10A7
EDNRA	EDNRA	EDNRA	EDNRA	EDNRA
TMEM184C	TMEM184C	TMEM184C	TMEM184C	TMEM184C
PRMT10	PRMT10	PRMT10	PRMT10	PRMT10
NR3C2	NR3C2	NR3C2	NR3C2	NR3C2
LRBA	LRBA	LRBA	LRBA	LRBA
MAB21L2	MAB21L2	MAB21L2	MAB21L2	MAB21L2
RPS3A	RPS3A	RPS3A	RPS3A	RPS3A
PET112	PET112	PET112	PET112	PET112
FBXW7	FBXW7	FBXW7	FBXW7	FBXW7
TMEM154	TMEM154	TMEM154	TMEM154	TMEM154
ARFIP1	ARFIP1	ARFIP1	ARFIP1	ARFIP1
TRIM2	TRIM2	TRIM2	TRIM2	TRIM2
MND1	MND1	MND1	MND1	MND1
KIAA0922	KIAA0922	KIAA0922	KIAA0922	KIAA0922
TLR2	TLR2	TLR2	TLR2	TLR2
DCHS2	DCHS2	DCHS2	DCHS2	DCHS2
FGB	FGB	FGB	FGB	FGB
FGA	FGA	FGA	FGA	FGA
FGG	FGG	FGG	FGG	FGG
LRAT	LRAT	LRAT	LRAT	LRAT
RBM46	RBM46	RBM46	RBM46	RBM46
NPY2R	NPY2R	NPY2R	NPY2R	NPY2R
ASIC5	ASIC5	ASIC5	ASIC5	ASIC5
CTSO	CTSO	CTSO	CTSO	CTSO
PDGFC	PDGFC	PDGFC	PDGFC	PDGFC
GLRB	GLRB	GLRB	GLRB	GLRB
GRIA2	GRIA2	GRIA2	GRIA2	GRIA2
FAM198B	FAM198B	FAM198B	FAM198B	FAM198B
TMEM144	TMEM144	TMEM144	TMEM144	TMEM144
ETFDH	ETFDH	ETFDH	ETFDH	ETFDH
PPID	PPID	PPID	PPID	PPID
FSTL5	FSTL5	FSTL5	FSTL5	FSTL5
NAF1	NAF1	NAF1	NAF1	NAF1
NPY5R	NPY5R	NPY5R	NPY5R	NPY5R
TKTL2	TKTL2	TKTL2	TKTL2	TKTL2
MARCH1	MARCH1	MARCH1	MARCH1	MARCH1
FAM218A	FAM218A	FAM218A	FAM218A	FAM218A
TRIM60	TRIM60	TRIM60	TRIM60	TRIM60
MSMO1	MSMO1	MSMO1	MSMO1	MSMO1
CPE	CPE	CPE	CPE	CPE
TLL1	TLL1	TLL1	TLL1	TLL1
CBR4	CBR4	CBR4	CBR4	CBR4
C4orf27	C4orf27	C4orf27	C4orf27	C4orf27
AADAT	AADAT	AADAT	AADAT	AADAT
GALNT7	GALNT7	GALNT7	GALNT7	GALNT7
HMGB2	HMGB2	HMGB2	HMGB2	HMGB2
SAP30	SAP30	SAP30	SAP30	SAP30
SCRG1	SCRG1	SCRG1	SCRG1	SCRG1
HAND2	HAND2	HAND2	HAND2	HAND2
FBXO8	FBXO8	FBXO8	FBXO8	FBXO8
HPGD	HPGD	HPGD	HPGD	HPGD
GLRA3	GLRA3	GLRA3	GLRA3	GLRA3
ADAM29	ADAM29	ADAM29	ADAM29	ADAM29
GPM6A	GPM6A	GPM6A	GPM6A	GPM6A
WDR17	WDR17	WDR17	WDR17	WDR17
SPATA4	SPATA4	SPATA4	SPATA4	SPATA4
ASB5	ASB5	ASB5	ASB5	ASB5
NEIL3	NEIL3	NEIL3	NEIL3	NEIL3
AGA	AGA	AGA	AGA	AGA
DCTD	DCTD	DCTD	DCTD	DCTD
ING2	ING2	ING2	ING2	ING2
ENPP6	ENPP6	ENPP6	ENPP6	ENPP6
IRF2	IRF2	IRF2	IRF2	IRF2
CASP3	CASP3	CASP3	CASP3	CASP3
CCDC111	CCDC111	CCDC111	PRIMPOL	PRIMPOL
MLF1IP	MLF1IP	MLF1IP	MLF1IP	CENPU
ACSL1	ACSL1	ACSL1	ACSL1	ACSL1
LRP2BP	LRP2BP	LRP2BP	LRP2BP	LRP2BP
ANKRD37	ANKRD37	ANKRD37	ANKRD37	ANKRD37
UFSP2	UFSP2	UFSP2	UFSP2	UFSP2
CCDC110	CCDC110	CCDC110	CCDC110	CCDC110
PDLIM3	PDLIM3	PDLIM3	PDLIM3	PDLIM3
SORBS2	SORBS2	SORBS2	SORBS2	SORBS2
TLR3	TLR3	TLR3	TLR3	TLR3
F11	F11	F11	F11	F11
MTNR1A	MTNR1A	MTNR1A	MTNR1A	MTNR1A
ZFP42	ZFP42	ZFP42	ZFP42	ZFP42
TRIML2	TRIML2	TRIML2	TRIML2	TRIML2
TRIML1	TRIML1	TRIML1	TRIML1	TRIML1
CCDC127	CCDC127	CCDC127	CCDC127	CCDC127
SDHA	SDHA	SDHA	SDHA	SDHA
PDCD6	PDCD6	PDCD6	PDCD6	PDCD6
SLC9A3	SLC9A3	SLC9A3	SLC9A3	SLC9A3
TPPP	TPPP	TPPP	TPPP	TPPP
ZDHHC11	ZDHHC11	ZDHHC11	ZDHHC11	ZDHHC11
TRIP13	TRIP13	TRIP13	TRIP13	TRIP13
NKD2	NKD2	NKD2	NKD2	NKD2
SLC6A18	SLC6A18	SLC6A18	SLC6A18	SLC6A18
TERT	TERT	TERT	TERT	TERT
CLPTM1L	CLPTM1L	CLPTM1L	CLPTM1L	CLPTM1L
SLC6A3	SLC6A3	SLC6A3	SLC6A3	SLC6A3
LPCAT1	LPCAT1	LPCAT1	LPCAT1	LPCAT1
MRPL36	MRPL36	MRPL36	MRPL36	MRPL36
NDUFS6	NDUFS6	NDUFS6	NDUFS6	NDUFS6
IRX4	IRX4	IRX4	IRX4	IRX4
IRX2	IRX2	IRX2	IRX2	IRX2
NSUN2	NSUN2	NSUN2	NSUN2	NSUN2
SRD5A1	SRD5A1	SRD5A1	SRD5A1	SRD5A1
PAPD7	PAPD7	PAPD7	PAPD7	PAPD7
ADCY2	ADCY2	ADCY2	ADCY2	ADCY2
FASTKD3	FASTKD3	FASTKD3	FASTKD3	FASTKD3
MTRR	MTRR	MTRR	MTRR	MTRR
SEMA5A	SEMA5A	SEMA5A	SEMA5A	SEMA5A
TAS2R1	TAS2R1	TAS2R1	TAS2R1	TAS2R1
CCT5	CCT5	CCT5	CCT5	CCT5
CMBL	CMBL	CMBL	CMBL	CMBL
ROPN1L	ROPN1L	ROPN1L	ROPN1L	ROPN1L
DAP	DAP	DAP	DAP	DAP
CTNND2	CTNND2	CTNND2	CTNND2	CTNND2
DNAH5	DNAH5	DNAH5	DNAH5	DNAH5
TRIO	TRIO	TRIO	TRIO	TRIO
FAM105A	FAM105A	FAM105A	FAM105A	FAM105A
ANKH	ANKH	ANKH	ANKH	ANKH
ZNF622	ZNF622	ZNF622	ZNF622	ZNF622
BASP1	BASP1	BASP1	BASP1	BASP1
CDH18	CDH18	CDH18	CDH18	CDH18
CDH12	CDH12	CDH12	CDH12	CDH12
CDH10	CDH10	CDH10	CDH10	CDH10
CDH9	CDH9	CDH9	CDH9	CDH9
CDH6	CDH6	CDH6	CDH6	CDH6
C5orf22	C5orf22	C5orf22	C5orf22	C5orf22
GOLPH3	GOLPH3	GOLPH3	GOLPH3	GOLPH3
SUB1	SUB1	SUB1	SUB1	SUB1
TARS	TARS	TARS	TARS	TARS
RXFP3	RXFP3	RXFP3	RXFP3	RXFP3
SLC45A2	SLC45A2	SLC45A2	SLC45A2	SLC45A2
AMACR	AMACR	AMACR	AMACR	AMACR
C1QTNF3	C1QTNF3	C1QTNF3	C1QTNF3	C1QTNF3
RAD1	RAD1	RAD1	RAD1	RAD1
DNAJC21	DNAJC21	DNAJC21	DNAJC21	DNAJC21
AGXT2	AGXT2	AGXT2	AGXT2	AGXT2
PRLR	PRLR	PRLR	PRLR	PRLR
SPEF2	SPEF2	SPEF2	SPEF2	SPEF2
IL7R	IL7R	IL7R	IL7R	IL7R
CAPSL	CAPSL	CAPSL	CAPSL	CAPSL
UGT3A1	UGT3A1	UGT3A1	UGT3A1	UGT3A1
UGT3A2	UGT3A2	UGT3A2	UGT3A2	UGT3A2
SKP2	SKP2	SKP2	SKP2	SKP2
NADKD1	NADKD1	NADK2	NADK2	NADK2
RANBP3L	RANBP3L	RANBP3L	RANBP3L	RANBP3L
SLC1A3	SLC1A3	SLC1A3	SLC1A3	SLC1A3
NIPBL	NIPBL	NIPBL	NIPBL	NIPBL
NUP155	NUP155	NUP155	NUP155	NUP155
GDNF	GDNF	GDNF	GDNF	GDNF
EGFLAM	EGFLAM	EGFLAM	EGFLAM	EGFLAM
